chapter,comparison_group,barrier_variable,barrier_label,barrier_category,applicability,sort_order,sample_group_n,weighted_group_population,valid_denominator_weighted,sample_yes_n,weighted_yes,weighted_yes_pct,health_vs_nonhealth_gap_pct_points
Chapter 5,Non-donors,NG_140B,Requests - Number,Solicitation detail,Follow-up to NG_130,18,10744,15305600,0,0,0,,
Chapter 5,Health donors,NG_140C,Requests - Tone,Solicitation detail,Follow-up to NG_130,19,6399,6797272,973604,335,361559,37.1,
Chapter 5,Non-Health donors,NG_140C,Requests - Tone,Solicitation detail,Follow-up to NG_130,19,9535,10935802,1310547,411,484606,37.0,
Chapter 5,Non-donors,NG_140C,Requests - Tone,Solicitation detail,Follow-up to NG_130,19,10744,15305600,0,0,0,,
Chapter 5,Health donors,NG_140D,Requests - Multiple,Solicitation detail,Follow-up to NG_130,20,6399,6797272,973604,560,540460,55.5,
Chapter 5,Non-Health donors,NG_140D,Requests - Multiple,Solicitation detail,Follow-up to NG_130,20,9535,10935802,1310547,634,696363,53.1,
Chapter 5,Non-donors,NG_140D,Requests - Multiple,Solicitation detail,Follow-up to NG_130,20,10744,15305600,0,0,0,,
Chapter 5,Health donors,NG_140E,Requests - Method,Solicitation detail,Follow-up to NG_130,21,6399,6797272,973604,374,386129,39.7,
Chapter 5,Non-Health donors,NG_140E,Requests - Method,Solicitation detail,Follow-up to NG_130,21,9535,10935802,1310547,499,546331,41.7,
Chapter 5,Non-donors,NG_140E,Requests - Method,Solicitation detail,Follow-up to NG_130,21,10744,15305600,0,0,0,,
Chapter 5,Health donors,NG_140F,Requests - Other reason,Solicitation detail,Follow-up to NG_130,22,6399,6797272,973604,40,42217,4.3,
Chapter 5,Non-Health donors,NG_140F,Requests - Other reason,Solicitation detail,Follow-up to NG_130,22,9535,10935802,1310547,63,70400,5.4,
Chapter 5,Non-donors,NG_140F,Requests - Other reason,Solicitation detail,Follow-up to NG_130,22,10744,15305600,0,0,0,,
