chapter,comparison_group,channel_key,channel_label,sort_order,sample_donor_n,weighted_donors,valid_channel_denominator_weighted,sample_channel_user_n,weighted_channel_users,weighted_channel_use_rate_pct,weighted_channel_donation_dollars,weighted_mean_channel_donation_among_users,weighted_median_channel_donation_among_users,weighted_mean_channel_frequency_among_users,weighted_median_channel_frequency_among_users,health_vs_nonhealth_rate_gap_pct_points
Chapter 3,Non-Health donors,work,Work,8,9535,10935802,10935802,1539,1695169,15.5,208618312,123.07,40.0,1.06,1.0,11.0
Chapter 3,All charitable donors,work,Work,8,15934,17733073,17733073,3309,3495249,19.7,385803570,110.38,40.0,1.09,1.0,11.0
Chapter 3,Health donors,door_to_door,Door-to-door canvassing,9,6399,6797272,6797272,1334,1214593,17.9,56655975,46.65,20.0,1.12,1.0,7.599999999999998
Chapter 3,Non-Health donors,door_to_door,Door-to-door canvassing,9,9535,10935802,10935802,1074,1120977,10.3,61828326,55.16,20.0,1.07,1.0,7.599999999999998
Chapter 3,All charitable donors,door_to_door,Door-to-door canvassing,9,15934,17733073,17733073,2408,2335570,13.2,118484301,50.73,20.0,1.1,1.0,7.599999999999998
Chapter 3,Health donors,shopping_centre,Shopping centre,10,6399,6797272,6797272,2830,3025865,44.5,121286750,40.08,20.0,1.35,1.0,11.700000000000003
Chapter 3,Non-Health donors,shopping_centre,Shopping centre,10,9535,10935802,10935802,2946,3589534,32.8,125301042,34.91,10.0,1.24,1.0,11.700000000000003
Chapter 3,All charitable donors,shopping_centre,Shopping centre,10,15934,17733073,17733073,5776,6615399,37.3,246587792,37.27,20.0,1.29,1.0,11.700000000000003
Chapter 3,Health donors,place_of_worship,Place of worship,11,6399,6797272,6797272,2170,1926132,28.3,1152941458,598.58,100.0,1.11,1.0,-2.8999999999999986
Chapter 3,Non-Health donors,place_of_worship,Place of worship,11,9535,10935802,10935802,3561,3412804,31.2,2413354917,707.15,100.0,1.08,1.0,-2.8999999999999986
Chapter 3,All charitable donors,place_of_worship,Place of worship,11,15934,17733073,17733073,5731,5338936,30.1,3566296375,667.98,100.0,1.09,1.0,-2.8999999999999986
Chapter 3,Health donors,sponsoring_someone,Sponsoring someone,12,6399,6797272,6797272,2525,2404101,35.4,201382295,83.77,50.0,1.08,1.0,25.2
Chapter 3,Non-Health donors,sponsoring_someone,Sponsoring someone,12,9535,10935802,10935802,1120,1119577,10.2,92667802,82.77,40.0,1.05,1.0,25.2
Chapter 3,All charitable donors,sponsoring_someone,Sponsoring someone,12,15934,17733073,17733073,3645,3523678,19.9,294050097,83.45,50.0,1.07,1.0,25.2
Chapter 3,Health donors,other,Other,13,6399,6797272,6797272,625,607465,8.9,220840742,363.54,100.0,1.27,1.0,-0.29999999999999893
Chapter 3,Non-Health donors,other,Other,13,9535,10935802,10935802,925,1002933,9.2,316289698,315.36,70.0,1.15,1.0,-0.29999999999999893
Chapter 3,All charitable donors,other,Other,13,15934,17733073,17733073,1550,1610398,9.1,537130441,333.54,80.0,1.19,1.0,-0.29999999999999893
