variable_name,official_label_description,position,format,valid_values_categories,universe_applicability,analytical_role,proposed_treatment,source_reference
INCG2,Income - Personal income group (before tax),1612-1613,D00169F,"1=Less than $25,000; 2=$25,000 to $49,999; 3=$50,000 to $74,999; 4=$75,000 to $99,999; 5=$100,000 to $124,999; 6=$125,000 and more; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated",Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
ED4CAT,Education - Highest degree (4 categories),1528-1528,D00008F,1=Less than high school; 2=Graduated from high school; 3=Post-secondary diploma; 4=University diploma; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_030,Financial giving - Mail,862-862,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND03,Number of donations - Mail,877-878,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD03,Amount of donations - Mail,903-914,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_040,Financial giving - Telephone,863-863,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND04,Number of donations - Telephone,879-880,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD04,Amount of donations - Telephone,915-926,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_050,Financial giving - Television,864-864,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND05,Number of donations - Television,881-882,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD05,Amount of donations - Television,927-938,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_060,Financial giving - Online,865-865,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND06,Number of donations - Online,883-884,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD06,Amount of donations - Online,939-950,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_070,Financial giving - On your own initiative,866-866,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND07,Number of donations - On your own initiative,885-886,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD07,Amount of donations - On your own initiative,951-962,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_080,Financial giving - Charity event,867-867,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND08,Number of donations - Charity event,887-888,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD08,Amount of donations - Charity event,963-974,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_090,Financial giving - In memory of someone,868-868,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND09,Number of donations - In memory of someone,889-890,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD09,Amount of donations - In memory of someone,975-986,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_100,Financial giving - Work,869-869,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND10,Number of donations - Work,891-892,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD10,Amount of donations - Work,987-998,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_110,Financial giving - Door-to-door canvassing,870-870,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND11,Number of donations - Door-to-door canvassing,893-894,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD11,Amount of donations - Door-to-door canvassing,999-1010,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_120,Financial giving - Shopping centre,871-871,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND12,Number of donations - Shopping centre,895-896,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD12,Amount of donations - Shopping centre,1011-1022,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_130,Financial giving - Place of worship,872-872,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND13,Number of donations - Place of worship,897-898,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD13,Amount of donations - Place of worship,1023-1034,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_140,Financial giving - By sponsoring someone,873-873,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND14,Number of donations - By sponsoring someone,899-900,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD14,Amount of donations - By sponsoring someone,1035-1046,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1A_170,Financial giving - Other,874-874,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel flag,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DND17,Number of donations - Other,901-902,M00331F,0=None; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel frequency,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1DAD17,Amount of donations - Other,1047-1058,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving channel amount,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG2A_180,Largest donation - Decision,876-876,A00128F,1=Decided in advance; 2=Responded to someone asking; 3=Both; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving decision/behaviour,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
DG_005,Decisions on giving - Tax credit,1451-1451,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving decision/behaviour,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
DG_030,Decisions on giving - Decide in advance,1452-1452,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving decision/behaviour,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
DG_050,Decisions on giving - Pattern of giving,1453-1453,A00043F,1=You always donate to the same organizations; 2=You vary the organizations to which you donate; 3=Both; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving decision/behaviour,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
DG_060,Decisions on giving - Search,1454-1454,A00234F,1=Yes; 2=Sometimes; 3=No; 4=You never consider donating to a charity that you have no...; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving decision/behaviour,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
DG_080,Decisions on giving - Know how to verify,1464-1464,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving decision/behaviour,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
DG_090,Decisions on giving - Organizations that monitor,1465-1465,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,Giving decision/behaviour,"Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
