variable_name,official_label_description,position,format,valid_values_categories,barrier_category,universe_applicability,analytical_role,proposed_treatment,source_reference
NG_040,Reasons for not giving more - No one asked,1476-1476,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation/opportunity,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_050,Reasons not giving more - Did not know where to make other donations,1477-1477,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Information/access,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_060,Reasons for not giving more - Hard to find a cause,1478-1478,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Information/access,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_070,Reasons for not giving more - Gave time instead,1479-1479,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Alternative contribution,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_080,Reasons for not giving more - Gave directly to people,1480-1480,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Alternative contribution,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_090,Reasons for not giving more - Tax credit not enough incentive,1481-1481,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Incentive,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_110,Reasons for not giving more - Money would not be used efficiently,1482-1482,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Trust/efficiency,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_130,Reasons for not giving more - Did not like way requests were made,1487-1487,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation concern,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_150,Reasons for not giving more - So many organizations,1494-1494,A00484F,1=Agree; 2=Disagree; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Choice overload,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_160,Reasons for not giving more - Charity fraud,1495-1495,A00484F,1=Agree; 2=Disagree; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Trust/efficiency,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_120A,Reasons for not giving more - Not efficient - Fundraising,1483-1483,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Trust/efficiency detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_120B,Reasons for not giving more - Not efficient - Impact,1484-1484,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Trust/efficiency detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_120C,Reasons for not giving more - Not efficient - Explanation,1485-1485,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Trust/efficiency detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_120D,Reasons for not giving more - Not efficient - Other,1486-1486,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Trust/efficiency detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_140A,Reasons for not giving more - Requests - Time of day,1488-1488,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_140B,Reasons for not giving more - Requests - Number,1489-1489,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_140C,Reasons for not giving more - Requests - Tone,1490-1490,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_140D,Reasons for not giving more - Requests - Multiple,1491-1491,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_140E,Reasons for not giving more - Requests - Method,1492-1492,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
NG_140F,Reasons for not giving more - Requests - Other reason,1493-1493,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Solicitation detail,Reasons for not giving more variables use valid yes/no denominators. Follow-up variables NG_120* and NG_140* have narrower applicability based on parent concerns.,Barrier measure,"Use 1=Yes and 2=No valid denominator; exclude valid skip, don't know, refusal, and not stated. Do not pool conditional follow-ups with core barriers.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
